Kod;Nazwa;Artykuły spożywcze;Rok;Wartosc;Jednostka miary;Atrybut
2240000000;ŚLĄSKIE;wędliny;2015;-;kg; 
2240000000;ŚLĄSKIE;ryby;2003;0,44;kg; 
2240000000;ŚLĄSKIE;ryby;2004;0,45;kg; 
2240000000;ŚLĄSKIE;ryby;2005;0,47;kg; 
2240000000;ŚLĄSKIE;ryby;2006;0,49;kg; 
2240000000;ŚLĄSKIE;ryby;2007;0,53;kg; 
2240000000;ŚLĄSKIE;ryby;2008;0,55;kg; 
2240000000;ŚLĄSKIE;ryby;2009;0,54;kg; 
2240000000;ŚLĄSKIE;ryby;2010;0,54;kg; 
2240000000;ŚLĄSKIE;ryby;2011;0,52;kg; 
2240000000;ŚLĄSKIE;ryby;2012;0,50;kg; 
2240000000;ŚLĄSKIE;ryby;2013;-;kg; 
2240000000;ŚLĄSKIE;ryby;2014;-;kg; 
2240000000;ŚLĄSKIE;ryby;2015;-;kg; 
2240000000;ŚLĄSKIE;ryby i owoce morza;2003;-;kg; 
2240000000;ŚLĄSKIE;ryby i owoce morza;2004;-;kg; 
2240000000;ŚLĄSKIE;ryby i owoce morza;2005;-;kg; 
2240000000;ŚLĄSKIE;ryby i owoce morza;2006;-;kg; 
2240000000;ŚLĄSKIE;ryby i owoce morza;2007;-;kg; 
2240000000;ŚLĄSKIE;ryby i owoce morza;2008;-;kg; 
2240000000;ŚLĄSKIE;ryby i owoce morza;2009;-;kg; 
2240000000;ŚLĄSKIE;ryby i owoce morza;2010;-;kg; 
2240000000;ŚLĄSKIE;ryby i owoce morza;2011;-;kg; 
2240000000;ŚLĄSKIE;ryby i owoce morza;2012;-;kg; 
2240000000;ŚLĄSKIE;ryby i owoce morza;2013;0,37;kg; 
2240000000;ŚLĄSKIE;ryby i owoce morza;2014;0,39;kg; 
2240000000;ŚLĄSKIE;ryby i owoce morza;2015;0,39;kg; 
2240000000;ŚLĄSKIE;mleko świeże;2003;-;l; 
2240000000;ŚLĄSKIE;mleko świeże;2004;-;l; 
2240000000;ŚLĄSKIE;mleko świeże;2005;3,44;l; 
2240000000;ŚLĄSKIE;mleko świeże;2006;3,25;l; 
2240000000;ŚLĄSKIE;mleko świeże;2007;3,13;l; 
2240000000;ŚLĄSKIE;mleko świeże;2008;2,94;l; 
2240000000;ŚLĄSKIE;mleko świeże;2009;2,86;l; 
2240000000;ŚLĄSKIE;mleko świeże;2010;2,78;l; 
2240000000;ŚLĄSKIE;mleko świeże;2011;2,83;l; 
2240000000;ŚLĄSKIE;mleko świeże;2012;2,73;l; 
2240000000;ŚLĄSKIE;mleko świeże;2013;2,75;l; 
2240000000;ŚLĄSKIE;mleko świeże;2014;2,61;l; 
2240000000;ŚLĄSKIE;mleko świeże;2015;2,58;l; 
2240000000;ŚLĄSKIE;jogurty i napoje mleczne;2003;-;kg; 
2240000000;ŚLĄSKIE;jogurty i napoje mleczne;2004;-;kg; 
2240000000;ŚLĄSKIE;jogurty i napoje mleczne;2005;0,65;kg; 
2240000000;ŚLĄSKIE;jogurty i napoje mleczne;2006;0,66;kg; 
2240000000;ŚLĄSKIE;jogurty i napoje mleczne;2007;0,69;kg; 
2240000000;ŚLĄSKIE;jogurty i napoje mleczne;2008;0,69;kg; 
2240000000;ŚLĄSKIE;jogurty i napoje mleczne;2009;0,72;kg; 
2240000000;ŚLĄSKIE;jogurty i napoje mleczne;2010;0,81;kg; 
2240000000;ŚLĄSKIE;jogurty i napoje mleczne;2011;0,83;kg; 
2240000000;ŚLĄSKIE;jogurty i napoje mleczne;2012;0,83;kg; 
2240000000;ŚLĄSKIE;jogurty i napoje mleczne;2013;-;kg; 
2240000000;ŚLĄSKIE;jogurty i napoje mleczne;2014;-;kg; 
2240000000;ŚLĄSKIE;jogurty i napoje mleczne;2015;-;kg; 
2240000000;ŚLĄSKIE;jogurty;2003;-;kg; 
2240000000;ŚLĄSKIE;jogurty;2004;-;kg; 
2240000000;ŚLĄSKIE;jogurty;2005;-;kg; 
2240000000;ŚLĄSKIE;jogurty;2006;-;kg; 
2240000000;ŚLĄSKIE;jogurty;2007;-;kg; 
2240000000;ŚLĄSKIE;jogurty;2008;-;kg; 
2240000000;ŚLĄSKIE;jogurty;2009;-;kg; 
2240000000;ŚLĄSKIE;jogurty;2010;-;kg; 
2240000000;ŚLĄSKIE;jogurty;2011;-;kg; 
2240000000;ŚLĄSKIE;jogurty;2012;-;kg; 
2240000000;ŚLĄSKIE;jogurty;2013;0,46;kg; 
2240000000;ŚLĄSKIE;jogurty;2014;0,45;kg; 
2240000000;ŚLĄSKIE;jogurty;2015;0,45;kg; 
2240000000;ŚLĄSKIE;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2003;4,67;l; 
2240000000;ŚLĄSKIE;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2004;4,40;l; 
2240000000;ŚLĄSKIE;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2005;-;l; 
2240000000;ŚLĄSKIE;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2006;-;l; 
2240000000;ŚLĄSKIE;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2007;-;l; 
2240000000;ŚLĄSKIE;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2008;-;l; 
2240000000;ŚLĄSKIE;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2009;-;l; 
2240000000;ŚLĄSKIE;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2010;-;l; 
2240000000;ŚLĄSKIE;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2011;-;l; 
2240000000;ŚLĄSKIE;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2012;-;l; 
2240000000;ŚLĄSKIE;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2013;-;l; 
2240000000;ŚLĄSKIE;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2014;-;l; 
2240000000;ŚLĄSKIE;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2015;-;l; 
2240000000;ŚLĄSKIE;sery i twarogi;2003;0,86;kg; 
2240000000;ŚLĄSKIE;sery i twarogi;2004;0,84;kg; 
2240000000;ŚLĄSKIE;sery i twarogi;2005;0,86;kg; 
2240000000;ŚLĄSKIE;sery i twarogi;2006;0,87;kg; 
2240000000;ŚLĄSKIE;sery i twarogi;2007;0,88;kg; 
2240000000;ŚLĄSKIE;sery i twarogi;2008;0,87;kg; 
2240000000;ŚLĄSKIE;sery i twarogi;2009;0,92;kg; 
2240000000;ŚLĄSKIE;sery i twarogi;2010;0,94;kg; 
2240000000;ŚLĄSKIE;sery i twarogi;2011;0,95;kg; 
2240000000;ŚLĄSKIE;sery i twarogi;2012;0,98;kg; 
2240000000;ŚLĄSKIE;sery i twarogi;2013;0,84;kg; 
2240000000;ŚLĄSKIE;sery i twarogi;2014;0,83;kg; 
2240000000;ŚLĄSKIE;sery i twarogi;2015;0,84;kg; 
2240000000;ŚLĄSKIE;jaja;2003;15,23;szt.; 
2240000000;ŚLĄSKIE;jaja;2004;14,95;szt.; 
2240000000;ŚLĄSKIE;jaja;2005;14,86;szt.; 
2240000000;ŚLĄSKIE;jaja;2006;13,69;szt.; 
2240000000;ŚLĄSKIE;jaja;2007;13,50;szt.; 
2240000000;ŚLĄSKIE;jaja;2008;12,78;szt.; 
2240000000;ŚLĄSKIE;jaja;2009;12,66;szt.; 
2240000000;ŚLĄSKIE;jaja;2010;12,83;szt.; 
2240000000;ŚLĄSKIE;jaja;2011;12,62;szt.; 
2240000000;ŚLĄSKIE;jaja;2012;12,50;szt.; 
2240000000;ŚLĄSKIE;jaja;2013;11,84;szt.; 
2240000000;ŚLĄSKIE;jaja;2014;11,93;szt.; 
2240000000;ŚLĄSKIE;jaja;2015;11,87;szt.; 
2240000000;ŚLĄSKIE;oleje i tłuszcze;2003;1,62;kg; 
2240000000;ŚLĄSKIE;oleje i tłuszcze;2004;1,58;kg; 
2240000000;ŚLĄSKIE;oleje i tłuszcze;2005;1,51;kg; 
2240000000;ŚLĄSKIE;oleje i tłuszcze;2006;1,51;kg; 
2240000000;ŚLĄSKIE;oleje i tłuszcze;2007;1,49;kg; 
2240000000;ŚLĄSKIE;oleje i tłuszcze;2008;1,39;kg; 
2240000000;ŚLĄSKIE;oleje i tłuszcze;2009;1,39;kg; 
2240000000;ŚLĄSKIE;oleje i tłuszcze;2010;1,38;kg; 
2240000000;ŚLĄSKIE;oleje i tłuszcze;2011;1,35;kg; 
2240000000;ŚLĄSKIE;oleje i tłuszcze;2012;1,32;kg; 
2240000000;ŚLĄSKIE;oleje i tłuszcze;2013;1,25;kg; 
2240000000;ŚLĄSKIE;oleje i tłuszcze;2014;1,24;kg; 
2240000000;ŚLĄSKIE;oleje i tłuszcze;2015;1,20;kg; 
2240000000;ŚLĄSKIE;owoce;2003;3,71;kg; 
2240000000;ŚLĄSKIE;owoce;2004;3,58;kg; 
2240000000;ŚLĄSKIE;owoce;2005;3,45;kg; 
2240000000;ŚLĄSKIE;owoce;2006;3,16;kg; 
2240000000;ŚLĄSKIE;owoce;2007;3,17;kg; 
2240000000;ŚLĄSKIE;owoce;2008;3,25;kg; 
2240000000;ŚLĄSKIE;owoce;2009;3,29;kg; 
2240000000;ŚLĄSKIE;owoce;2010;3,26;kg; 
2240000000;ŚLĄSKIE;owoce;2011;3,15;kg; 
2240000000;ŚLĄSKIE;owoce;2012;3,22;kg; 
2240000000;ŚLĄSKIE;owoce;2013;3,39;kg; 
2240000000;ŚLĄSKIE;owoce;2014;3,46;kg; 
2240000000;ŚLĄSKIE;owoce;2015;3,50;kg; 
2240000000;ŚLĄSKIE;warzywa;2003;11,86;kg; 
2240000000;ŚLĄSKIE;warzywa;2004;11,70;kg; 
2240000000;ŚLĄSKIE;warzywa;2005;11,08;kg; 
2240000000;ŚLĄSKIE;warzywa;2006;10,23;kg; 
2240000000;ŚLĄSKIE;warzywa;2007;9,96;kg; 
2240000000;ŚLĄSKIE;warzywa;2008;9,34;kg; 
2240000000;ŚLĄSKIE;warzywa;2009;9,27;kg; 
2240000000;ŚLĄSKIE;warzywa;2010;9,05;kg; 
2240000000;ŚLĄSKIE;warzywa;2011;9,38;kg; 
2240000000;ŚLĄSKIE;warzywa;2012;8,69;kg; 
2240000000;ŚLĄSKIE;warzywa;2013;8,26;kg; 
2240000000;ŚLĄSKIE;warzywa;2014;8,24;kg; 
2240000000;ŚLĄSKIE;warzywa;2015;7,92;kg; 
2240000000;ŚLĄSKIE;ziemniaki;2003;-;kg; 
2240000000;ŚLĄSKIE;ziemniaki;2004;-;kg; 
2240000000;ŚLĄSKIE;ziemniaki;2005;-;kg; 
2240000000;ŚLĄSKIE;ziemniaki;2006;-;kg; 
2240000000;ŚLĄSKIE;ziemniaki;2007;-;kg; 
2240000000;ŚLĄSKIE;ziemniaki;2008;-;kg; 
2240000000;ŚLĄSKIE;ziemniaki;2009;-;kg; 
2240000000;ŚLĄSKIE;ziemniaki;2010;-;kg; 
2240000000;ŚLĄSKIE;ziemniaki;2011;-;kg; 
2240000000;ŚLĄSKIE;ziemniaki;2012;-;kg; 
2240000000;ŚLĄSKIE;ziemniaki;2013;-;kg; 
2240000000;ŚLĄSKIE;ziemniaki;2014;-;kg; 
2240000000;ŚLĄSKIE;ziemniaki;2015;3,16;kg; 
2240000000;ŚLĄSKIE;cukier;2003;1,60;kg; 
2240000000;ŚLĄSKIE;cukier;2004;1,48;kg; 
2240000000;ŚLĄSKIE;cukier;2005;1,39;kg; 
2240000000;ŚLĄSKIE;cukier;2006;1,34;kg; 
2240000000;ŚLĄSKIE;cukier;2007;1,32;kg; 
2240000000;ŚLĄSKIE;cukier;2008;1,24;kg; 
2240000000;ŚLĄSKIE;cukier;2009;1,24;kg; 
2240000000;ŚLĄSKIE;cukier;2010;1,15;kg; 
2240000000;ŚLĄSKIE;cukier;2011;1,05;kg; 
2240000000;ŚLĄSKIE;cukier;2012;1,00;kg; 
2240000000;ŚLĄSKIE;cukier;2013;1,00;kg; 
2240000000;ŚLĄSKIE;cukier;2014;0,99;kg; 
2240000000;ŚLĄSKIE;cukier;2015;0,86;kg; 
3000000000;Region wschodni;pieczywo i produkty zbożowe;2003;9,40;kg; 
3000000000;Region wschodni;pieczywo i produkty zbożowe;2004;9,22;kg; 
3000000000;Region wschodni;pieczywo i produkty zbożowe;2005;9,05;kg; 
3000000000;Region wschodni;pieczywo i produkty zbożowe;2006;8,80;kg; 
3000000000;Region wschodni;pieczywo i produkty zbożowe;2007;8,38;kg; 
3000000000;Region wschodni;pieczywo i produkty zbożowe;2008;8,07;kg; 
3000000000;Region wschodni;pieczywo i produkty zbożowe;2009;7,76;kg; 
3000000000;Region wschodni;pieczywo i produkty zbożowe;2010;7,71;kg; 
3000000000;Region wschodni;pieczywo i produkty zbożowe;2011;7,43;kg; 
3000000000;Region wschodni;pieczywo i produkty zbożowe;2012;7,30;kg; 
3000000000;Region wschodni;pieczywo i produkty zbożowe;2013;7,11;kg; 
3000000000;Region wschodni;pieczywo i produkty zbożowe;2014;7,05;kg; 
3000000000;Region wschodni;pieczywo i produkty zbożowe;2015;6,76;kg; 
3000000000;Region wschodni;pieczywo;2003;-;kg; 
3000000000;Region wschodni;pieczywo;2004;-;kg; 
3000000000;Region wschodni;pieczywo;2005;-;kg; 
3000000000;Region wschodni;pieczywo;2006;-;kg; 
3000000000;Region wschodni;pieczywo;2007;-;kg; 
3000000000;Region wschodni;pieczywo;2008;-;kg; 
3000000000;Region wschodni;pieczywo;2009;-;kg; 
3000000000;Region wschodni;pieczywo;2010;-;kg; 
3000000000;Region wschodni;pieczywo;2011;-;kg; 
3000000000;Region wschodni;pieczywo;2012;-;kg; 
3000000000;Region wschodni;pieczywo;2013;-;kg; 
3000000000;Region wschodni;pieczywo;2014;-;kg; 
3000000000;Region wschodni;pieczywo;2015;4,13;kg; 
3000000000;Region wschodni;mięso;2003;5,60;kg; 
3000000000;Region wschodni;mięso;2004;5,36;kg; 
3000000000;Region wschodni;mięso;2005;5,60;kg; 
3000000000;Region wschodni;mięso;2006;5,54;kg; 
3000000000;Region wschodni;mięso;2007;5,54;kg; 
3000000000;Region wschodni;mięso;2008;5,71;kg; 
3000000000;Region wschodni;mięso;2009;5,57;kg; 
3000000000;Region wschodni;mięso;2010;5,70;kg; 
3000000000;Region wschodni;mięso;2011;5,60;kg; 
3000000000;Region wschodni;mięso;2012;5,60;kg; 
3000000000;Region wschodni;mięso;2013;5,41;kg; 
3000000000;Region wschodni;mięso;2014;5,49;kg; 
3000000000;Region wschodni;mięso;2015;5,49;kg; 
3000000000;Region wschodni;mięso surowe;2003;-;kg; 
3000000000;Region wschodni;mięso surowe;2004;-;kg; 
3000000000;Region wschodni;mięso surowe;2005;-;kg; 
3000000000;Region wschodni;mięso surowe;2006;-;kg; 
3000000000;Region wschodni;mięso surowe;2007;-;kg; 
3000000000;Region wschodni;mięso surowe;2008;-;kg; 
3000000000;Region wschodni;mięso surowe;2009;-;kg; 
3000000000;Region wschodni;mięso surowe;2010;-;kg; 
3000000000;Region wschodni;mięso surowe;2011;-;kg; 
3000000000;Region wschodni;mięso surowe;2012;-;kg; 
3000000000;Region wschodni;mięso surowe;2013;3,10;kg; 
3000000000;Region wschodni;mięso surowe;2014;3,15;kg; 
3000000000;Region wschodni;mięso surowe;2015;3,19;kg; 
3000000000;Region wschodni;mięso surowe drobiowe;2003;-;kg; 
3000000000;Region wschodni;mięso surowe drobiowe;2004;-;kg; 
3000000000;Region wschodni;mięso surowe drobiowe;2005;-;kg; 
3000000000;Region wschodni;mięso surowe drobiowe;2006;-;kg; 
3000000000;Region wschodni;mięso surowe drobiowe;2007;-;kg; 
3000000000;Region wschodni;mięso surowe drobiowe;2008;-;kg; 
3000000000;Region wschodni;mięso surowe drobiowe;2009;-;kg; 
3000000000;Region wschodni;mięso surowe drobiowe;2010;-;kg; 
3000000000;Region wschodni;mięso surowe drobiowe;2011;-;kg; 
3000000000;Region wschodni;mięso surowe drobiowe;2012;-;kg; 
3000000000;Region wschodni;mięso surowe drobiowe;2013;1,48;kg; 
3000000000;Region wschodni;mięso surowe drobiowe;2014;1,54;kg; 
3000000000;Region wschodni;mięso surowe drobiowe;2015;1,56;kg; 
3000000000;Region wschodni;wędliny i inne przetwory mięsne;2003;-;kg; 
3000000000;Region wschodni;wędliny i inne przetwory mięsne;2004;-;kg; 
3000000000;Region wschodni;wędliny i inne przetwory mięsne;2005;-;kg; 
3000000000;Region wschodni;wędliny i inne przetwory mięsne;2006;-;kg; 
3000000000;Region wschodni;wędliny i inne przetwory mięsne;2007;-;kg; 
3000000000;Region wschodni;wędliny i inne przetwory mięsne;2008;-;kg; 
3000000000;Region wschodni;wędliny i inne przetwory mięsne;2009;-;kg; 
3000000000;Region wschodni;wędliny i inne przetwory mięsne;2010;-;kg; 
3000000000;Region wschodni;wędliny i inne przetwory mięsne;2011;-;kg; 
3000000000;Region wschodni;wędliny i inne przetwory mięsne;2012;-;kg; 
3000000000;Region wschodni;wędliny i inne przetwory mięsne;2013;-;kg; 
3000000000;Region wschodni;wędliny i inne przetwory mięsne;2014;2,08;kg; 
3000000000;Region wschodni;wędliny i inne przetwory mięsne;2015;2,07;kg; 
3000000000;Region wschodni;wędliny;2003;-;kg; 
3000000000;Region wschodni;wędliny;2004;-;kg; 
3000000000;Region wschodni;wędliny;2005;-;kg; 
3000000000;Region wschodni;wędliny;2006;-;kg; 
3000000000;Region wschodni;wędliny;2007;-;kg; 
3000000000;Region wschodni;wędliny;2008;-;kg; 
3000000000;Region wschodni;wędliny;2009;-;kg; 
3000000000;Region wschodni;wędliny;2010;-;kg; 
3000000000;Region wschodni;wędliny;2011;-;kg; 
3000000000;Region wschodni;wędliny;2012;-;kg; 
3000000000;Region wschodni;wędliny;2013;2,06;kg; 
3000000000;Region wschodni;wędliny;2014;-;kg; 
3000000000;Region wschodni;wędliny;2015;-;kg; 
3000000000;Region wschodni;ryby;2003;0,37;kg; 
3000000000;Region wschodni;ryby;2004;0,35;kg; 
3000000000;Region wschodni;ryby;2005;0,38;kg; 
3000000000;Region wschodni;ryby;2006;0,39;kg; 
3000000000;Region wschodni;ryby;2007;0,40;kg; 
3000000000;Region wschodni;ryby;2008;0,43;kg; 
3000000000;Region wschodni;ryby;2009;0,43;kg; 
3000000000;Region wschodni;ryby;2010;0,41;kg; 
3000000000;Region wschodni;ryby;2011;0,41;kg; 
3000000000;Region wschodni;ryby;2012;0,39;kg; 
3000000000;Region wschodni;ryby;2013;-;kg; 
3000000000;Region wschodni;ryby;2014;-;kg; 
3000000000;Region wschodni;ryby;2015;-;kg; 
3000000000;Region wschodni;ryby i owoce morza;2003;-;kg; 
3000000000;Region wschodni;ryby i owoce morza;2004;-;kg; 
3000000000;Region wschodni;ryby i owoce morza;2005;-;kg; 
3000000000;Region wschodni;ryby i owoce morza;2006;-;kg; 
3000000000;Region wschodni;ryby i owoce morza;2007;-;kg; 
3000000000;Region wschodni;ryby i owoce morza;2008;-;kg; 
3000000000;Region wschodni;ryby i owoce morza;2009;-;kg; 
3000000000;Region wschodni;ryby i owoce morza;2010;-;kg; 
3000000000;Region wschodni;ryby i owoce morza;2011;-;kg; 
3000000000;Region wschodni;ryby i owoce morza;2012;-;kg; 
3000000000;Region wschodni;ryby i owoce morza;2013;0,31;kg; 
3000000000;Region wschodni;ryby i owoce morza;2014;0,31;kg; 
3000000000;Region wschodni;ryby i owoce morza;2015;0,30;kg; 
3000000000;Region wschodni;mleko świeże;2003;-;l; 
3000000000;Region wschodni;mleko świeże;2004;-;l; 
3000000000;Region wschodni;mleko świeże;2005;5,39;l; 
3000000000;Region wschodni;mleko świeże;2006;4,98;l; 
3000000000;Region wschodni;mleko świeże;2007;4,42;l; 
3000000000;Region wschodni;mleko świeże;2008;4,32;l; 
3000000000;Region wschodni;mleko świeże;2009;4,07;l; 
3000000000;Region wschodni;mleko świeże;2010;4,06;l; 
3000000000;Region wschodni;mleko świeże;2011;3,97;l; 
3000000000;Region wschodni;mleko świeże;2012;4,03;l; 
3000000000;Region wschodni;mleko świeże;2013;3,87;l; 
3000000000;Region wschodni;mleko świeże;2014;3,76;l; 
3000000000;Region wschodni;mleko świeże;2015;3,71;l; 
3000000000;Region wschodni;jogurty i napoje mleczne;2003;-;kg; 
3000000000;Region wschodni;jogurty i napoje mleczne;2004;-;kg; 
3000000000;Region wschodni;jogurty i napoje mleczne;2005;0,45;kg; 
3000000000;Region wschodni;jogurty i napoje mleczne;2006;0,49;kg; 
3000000000;Region wschodni;jogurty i napoje mleczne;2007;0,55;kg; 
3000000000;Region wschodni;jogurty i napoje mleczne;2008;0,55;kg; 
3000000000;Region wschodni;jogurty i napoje mleczne;2009;0,59;kg; 
3000000000;Region wschodni;jogurty i napoje mleczne;2010;0,66;kg; 
3000000000;Region wschodni;jogurty i napoje mleczne;2011;0,68;kg; 
3000000000;Region wschodni;jogurty i napoje mleczne;2012;0,77;kg; 
3000000000;Region wschodni;jogurty i napoje mleczne;2013;-;kg; 
3000000000;Region wschodni;jogurty i napoje mleczne;2014;-;kg; 
3000000000;Region wschodni;jogurty i napoje mleczne;2015;-;kg; 
3000000000;Region wschodni;jogurty;2003;-;kg; 
3000000000;Region wschodni;jogurty;2004;-;kg; 
3000000000;Region wschodni;jogurty;2005;-;kg; 
3000000000;Region wschodni;jogurty;2006;-;kg; 
3000000000;Region wschodni;jogurty;2007;-;kg; 
3000000000;Region wschodni;jogurty;2008;-;kg; 
3000000000;Region wschodni;jogurty;2009;-;kg; 
3000000000;Region wschodni;jogurty;2010;-;kg; 
3000000000;Region wschodni;jogurty;2011;-;kg; 
3000000000;Region wschodni;jogurty;2012;-;kg; 
3000000000;Region wschodni;jogurty;2013;0,43;kg; 
3000000000;Region wschodni;jogurty;2014;0,44;kg; 
3000000000;Region wschodni;jogurty;2015;0,43;kg; 
3000000000;Region wschodni;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2003;6,49;l; 
3000000000;Region wschodni;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2004;5,92;l; 
3000000000;Region wschodni;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2005;-;l; 
3000000000;Region wschodni;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2006;-;l; 
3000000000;Region wschodni;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2007;-;l; 
3000000000;Region wschodni;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2008;-;l; 
3000000000;Region wschodni;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2009;-;l; 
3000000000;Region wschodni;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2010;-;l; 
3000000000;Region wschodni;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2011;-;l; 
3000000000;Region wschodni;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2012;-;l; 
3000000000;Region wschodni;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2013;-;l; 
3000000000;Region wschodni;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2014;-;l; 
3000000000;Region wschodni;mleko (bez zagęszczonego i w proszku), napoje mleczne i jogurty;2015;-;l; 
3000000000;Region wschodni;sery i twarogi;2003;0,89;kg; 
3000000000;Region wschodni;sery i twarogi;2004;0,86;kg; 
3000000000;Region wschodni;sery i twarogi;2005;0,85;kg; 
3000000000;Region wschodni;sery i twarogi;2006;0,83;kg; 
3000000000;Region wschodni;sery i twarogi;2007;0,81;kg; 
3000000000;Region wschodni;sery i twarogi;2008;0,83;kg; 
3000000000;Region wschodni;sery i twarogi;2009;0,87;kg; 
3000000000;Region wschodni;sery i twarogi;2010;0,86;kg; 
3000000000;Region wschodni;sery i twarogi;2011;0,85;kg; 
3000000000;Region wschodni;sery i twarogi;2012;0,88;kg; 
3000000000;Region wschodni;sery i twarogi;2013;0,78;kg; 
3000000000;Region wschodni;sery i twarogi;2014;0,78;kg; 
3000000000;Region wschodni;sery i twarogi;2015;0,79;kg; 
3000000000;Region wschodni;jaja;2003;15,86;szt.; 
3000000000;Region wschodni;jaja;2004;15,30;szt.; 
3000000000;Region wschodni;jaja;2005;16,40;szt.; 
3000000000;Region wschodni;jaja;2006;15,28;szt.; 
3000000000;Region wschodni;jaja;2007;14,44;szt.; 
3000000000;Region wschodni;jaja;2008;14,01;szt.; 
3000000000;Region wschodni;jaja;2009;14,06;szt.; 
3000000000;Region wschodni;jaja;2010;13,82;szt.; 
3000000000;Region wschodni;jaja;2011;13,78;szt.; 
3000000000;Region wschodni;jaja;2012;13,47;szt.; 
3000000000;Region wschodni;jaja;2013;13,53;szt.; 
3000000000;Region wschodni;jaja;2014;13,48;szt.; 
3000000000;Region wschodni;jaja;2015;13,32;szt.; 
3000000000;Region wschodni;oleje i tłuszcze;2003;1,63;kg; 
3000000000;Region wschodni;oleje i tłuszcze;2004;1,57;kg; 
3000000000;Region wschodni;oleje i tłuszcze;2005;1,53;kg; 
3000000000;Region wschodni;oleje i tłuszcze;2006;1,48;kg; 
3000000000;Region wschodni;oleje i tłuszcze;2007;1,41;kg; 
3000000000;Region wschodni;oleje i tłuszcze;2008;1,39;kg; 
3000000000;Region wschodni;oleje i tłuszcze;2009;1,38;kg; 
3000000000;Region wschodni;oleje i tłuszcze;2010;1,40;kg; 
3000000000;Region wschodni;oleje i tłuszcze;2011;1,33;kg; 
3000000000;Region wschodni;oleje i tłuszcze;2012;1,34;kg; 
3000000000;Region wschodni;oleje i tłuszcze;2013;1,25;kg; 
3000000000;Region wschodni;oleje i tłuszcze;2014;1,24;kg; 
3000000000;Region wschodni;oleje i tłuszcze;2015;1,15;kg; 
3000000000;Region wschodni;owoce;2003;3,97;kg; 
3000000000;Region wschodni;owoce;2004;4,05;kg; 
3000000000;Region wschodni;owoce;2005;3,66;kg; 
3000000000;Region wschodni;owoce;2006;3,61;kg; 
3000000000;Region wschodni;owoce;2007;3,24;kg; 
3000000000;Region wschodni;owoce;2008;3,45;kg; 
3000000000;Region wschodni;owoce;2009;3,77;kg; 
3000000000;Region wschodni;owoce;2010;3,29;kg; 
3000000000;Region wschodni;owoce;2011;3,26;kg; 
3000000000;Region wschodni;owoce;2012;3,45;kg; 
3000000000;Region wschodni;owoce;2013;3,40;kg; 
3000000000;Region wschodni;owoce;2014;3,68;kg; 
3000000000;Region wschodni;owoce;2015;3,49;kg; 
3000000000;Region wschodni;warzywa;2003;14,12;kg; 
3000000000;Region wschodni;warzywa;2004;13,16;kg; 
3000000000;Region wschodni;warzywa;2005;13,60;kg; 
3000000000;Region wschodni;warzywa;2006;12,38;kg; 
3000000000;Region wschodni;warzywa;2007;11,66;kg; 
3000000000;Region wschodni;warzywa;2008;11,45;kg; 
3000000000;Region wschodni;warzywa;2009;11,00;kg; 
3000000000;Region wschodni;warzywa;2010;10,94;kg; 
3000000000;Region wschodni;warzywa;2011;10,89;kg; 
3000000000;Region wschodni;warzywa;2012;10,96;kg; 
3000000000;Region wschodni;warzywa;2013;10,12;kg; 
3000000000;Region wschodni;warzywa;2014;10,16;kg; 
3000000000;Region wschodni;warzywa;2015;9,69;kg; 
3000000000;Region wschodni;ziemniaki;2003;-;kg; 
3000000000;Region wschodni;ziemniaki;2004;-;kg; 
3000000000;Region wschodni;ziemniaki;2005;-;kg; 
3000000000;Region wschodni;ziemniaki;2006;-;kg; 
3000000000;Region wschodni;ziemniaki;2007;-;kg; 
3000000000;Region wschodni;ziemniaki;2008;-;kg; 
3000000000;Region wschodni;ziemniaki;2009;-;kg; 
3000000000;Region wschodni;ziemniaki;2010;-;kg; 
